collar_id,site,treatment,start,end,day,fix,success,kept,reason,outlier step,outlier dist
150822,willowtree,manual,2/12/2022 7:00,1/01/2023 6:00,31,687,0.923387097,Y,,,
150823,willowtree,manual,30/11/2022 7:00,30/12/2022 6:00,31,708,0.951612903,Y,,,
153207,Yantabulla,manual,19/09/2023 8:00,19/10/2023 7:00,31,646,0.86827957,Y,,,
153208,Yantabulla,manual,19/09/2023 9:00,19/10/2023 8:00,31,670,0.900537634,Y,,,
153209,Yantabulla,manual,20/09/2023 9:00,20/10/2023 8:00,31,677,0.909946237,Y,,,
153210,Yantabulla,manual,20/09/2023 10:00,20/10/2023 9:00,31,659,0.885752688,Y,,,
153211,Yantabulla,manual,20/09/2023 8:00,20/10/2023 6:00,31,679,0.912634409,Y,,,
153212,Yantabulla,manual,21/09/2023 7:00,21/10/2023 6:00,31,652,0.876344086,Y,,,
153213,Yantabulla,manual,20/09/2023 7:00,20/10/2023 5:00,31,665,0.893817204,Y,,,
153215,Yantabulla,manual,19/09/2023 9:00,19/10/2023 8:00,31,669,0.899193548,Y,,,
153216,Yantabulla,manual,21/09/2023 8:00,21/10/2023 7:00,31,653,0.877688172,Y,,,
153217,Yantabulla,manual,21/09/2023 8:00,21/10/2023 7:00,31,666,0.89516129,Y,,,
153218,Yantabulla,manual,19/09/2023 8:00,19/10/2023 7:00,31,666,0.89516129,Y,,,
153219,Yantabulla,manual,19/09/2023 8:00,19/10/2023 7:00,31,644,0.865591398,Y,,,
153220,Yantabulla,manual,20/09/2023 11:00,20/10/2023 9:00,31,666,0.89516129,Y,,,
153222,Yantabulla,manual,20/09/2023 9:00,20/10/2023 8:00,31,666,0.89516129,Y,,,
153223,Yantabulla,manual,19/09/2023 8:00,19/10/2023 7:00,31,674,0.905913978,Y,,,
153224,Yantabulla,manual,19/09/2023 10:00,19/10/2023 9:00,31,651,0.875,Y,,,
153225,Yantabulla,manual,21/09/2023 7:00,21/10/2023 6:00,31,652,0.876344086,Y,,,
153226,Yantabulla,manual,20/09/2023 8:00,20/10/2023 7:00,31,625,0.840053763,Y,,,
153227,Yantabulla,manual,20/09/2023 8:00,20/10/2023 6:00,31,656,0.88172043,Y,,,
153228,Yantabulla,manual,20/09/2023 9:00,20/10/2023 8:00,31,643,0.864247312,Y,,,
153229,Yantabulla,manual,20/09/2023 10:00,20/10/2023 9:00,31,662,0.889784946,Y,,,
153230,Yantabulla,manual,21/09/2023 9:00,21/10/2023 8:00,31,672,0.903225806,Y,,,
153231,Yantabulla,manual,21/09/2023 9:00,21/10/2023 8:00,31,679,0.912634409,Y,,,
153232,Yantabulla,manual,19/09/2023 7:00,19/10/2023 6:00,31,665,0.893817204,Y,,,
153233,Yantabulla,manual,19/09/2023 7:00,19/10/2023 6:00,31,663,0.891129032,Y,,,
153234,Yantabulla,manual,20/09/2023 7:00,20/10/2023 6:00,31,639,0.858870968,Y,,,
153235,Yantabulla,manual,21/09/2023 9:00,21/10/2023 8:00,31,664,0.892473118,Y,,,
156662,JAC,manual,11/02/2025 8:00,13/03/2025 7:00,31,570,0.766129032,Y,,,
156663,JAC,manual,12/02/2025 8:00,14/03/2025 8:00,31,665,0.893817204,Y,,,
156667,JAC,manual,13/02/2025 8:00,15/03/2025 8:00,31,623,0.837365591,Y,,,
156668,JAC,manual,22/04/2025 8:00,22/05/2025 7:00,31,614,0.825268817,Y,,,
156672,JAC,manual,12/02/2025 8:00,14/03/2025 8:00,31,610,0.819892473,Y,,,
156674,JAC,manual,22/04/2025 8:00,22/05/2025 7:00,31,618,0.830645161,Y,,,
156676,JAC,manual,12/02/2025 8:00,14/03/2025 8:00,31,593,0.797043011,Y,,,
156677,JAC,manual,14/02/2025 8:00,16/03/2025 8:00,31,634,0.852150538,Y,,,
156678,JAC,manual,14/02/2025 8:00,16/03/2025 8:00,31,642,0.862903226,Y,,,
156681,JAC,manual,14/02/2025 8:00,16/03/2025 8:00,31,605,0.813172043,Y,,,
156683,JAC,manual,22/04/2025 12:00,22/05/2025 8:00,31,642,0.862903226,Y,,,
156684,JAC,manual,11/02/2025 8:00,13/03/2025 8:00,31,643,0.864247312,Y,,,
156685,JAC,manual,12/02/2025 8:00,14/03/2025 8:00,31,634,0.852150538,Y,,,
156686,JAC,manual,12/02/2025 8:00,14/03/2025 8:00,31,650,0.873655914,Y,,,
156687,JAC,manual,13/02/2025 8:00,15/03/2025 8:00,31,629,0.845430108,Y,,,
156688,JAC,manual,13/02/2025 8:00,15/03/2025 8:00,31,660,0.887096774,Y,,,
181772,booligal,manual,21/10/2021 8:00,20/11/2021 7:00,31,605,0.813172043,Y,,,
188826,willowtree,manual,30/11/2022 7:00,30/12/2022 6:00,31,598,0.803763441,Y,,,
188829,willowtree,manual,30/11/2022 7:00,30/12/2022 6:00,31,618,0.830645161,Y,,,
188830,willowtree,manual,30/11/2022 7:00,30/12/2022 6:00,31,661,0.88844086,Y,,,
PC005,WANC,darting,13/12/2014 18:00,12/01/2015 17:00,31,675,0.907258065,Y,,,
PC006,WANC,darting,14/12/2014 22:00,13/01/2015 22:00,31,721,0.969086022,Y,,,
PC007,WANC,darting,10/04/2015,9/05/2015 23:00,30,635,0.881944444,Y,,,
PC008,WANC,darting,24/04/2015 22:00,24/05/2015 22:00,31,581,0.780913978,Y,,,
PC009,WANC,darting,23/04/2015 22:00,23/05/2015 21:00,31,699,0.939516129,Y,,,
PC015,WANC,darting,28/05/2015 19:00,27/06/2015 18:00,31,663,0.891129032,Y,,,
PC017,WANC,darting,3/06/2015 20:00,3/07/2015 19:00,31,684,0.919354839,Y,,,
PC024,WANC,darting,5/02/2016 20:00,6/03/2016 20:00,31,660,0.887096774,Y,,,
PC025,WANC,darting,11/02/2016 3:00,11/03/2016 18:00,30,596,0.827777778,Y,,,
PC026,WANC,darting,11/02/2016 4:00,12/03/2016 4:00,31,626,0.841397849,Y,,,
PC030,WANC,darting,31/03/2016,29/04/2016 17:00,30,651,0.904166667,Y,,,
PC038,WAGA,darting,12/12/2016 10:00,11/01/2017 8:00,31,620,0.833333333,Y,,,
PC046,WAGA,darting,20/10/2017 2:00,19/11/2017 1:00,31,644,0.865591398,Y,,,
PC047,WAGA,darting,18/10/2017 18:00,17/11/2017 17:00,31,646,0.86827957,Y,,,
PC048,WAGA,darting,18/10/2017 19:00,17/11/2017 18:00,31,620,0.833333333,Y,,,
PC049,WAGA,darting,20/10/2017 3:00,19/11/2017 3:00,31,715,0.961021505,Y,,,
PC050,WAGA,darting,16/01/2018 1:00,11/02/2018 8:00,27,570,0.87962963,Y,,,
PC051,WAGA,darting,22/11/2017 9:00,22/12/2017 8:00,31,631,0.84811828,Y,,,
PC052,WAGA,darting,27/06/2018 19:00,27/07/2018 19:00,31,719,0.966397849,Y,,,
PC053,WAGA,darting,22/11/2017 10:00,22/12/2017 6:00,31,654,0.879032258,Y,,,
PC054,WAGA,darting,22/11/2017 9:00,22/12/2017 9:00,31,666,0.89516129,Y,,,
PC055,WAGA,darting,22/11/2017 9:00,22/12/2017 9:00,31,672,0.903225806,Y,,,
PC058,WAGA,darting,28/06/2018 8:00,28/07/2018 8:00,31,635,0.853494624,Y,,,
PC059,WANA,darting,27/06/2018 15:00,27/07/2018 15:00,31,695,0.934139785,Y,,,
PC061,WANA,darting,27/06/2018 10:00,27/07/2018 10:00,31,701,0.942204301,Y,,,
PC062,WANA,darting,29/06/2018 4:00,29/07/2018 3:00,31,720,0.967741935,Y,,,
PC064,WANA,darting,11/12/2019 10:00,9/01/2020 9:00,30,673,0.934722222,Y,,,
PC071,WANA,darting,14/12/2019 5:00,9/01/2020 10:00,27,509,0.785493827,Y,,,
PC073,WAMO,darting,11/02/2020 4:00,12/03/2020 4:00,31,681,0.915322581,Y,,,
