ID,Capture method,Name,State,Site,Latitude,Longitude,Date,,,,,,,,
DM118,Pole syringe,Western Collared Pig 31,NSW,Norma Downs,-30.600664,143.923326,18/12/2020,,,,,,,,
DM117,Pole syringe,Western Collared Pig 30,NSW,Norma Downs,-30.696196,143.89426,17/12/2020,,,,,,,,
DM116,Pole syringe,Western Collared Pig 29,NSW,Norma Downs,-30.63406,143.96922,17/12/2020,,,,,,,,
DM114,Pole syringe,Western Collared Pig 27,NSW,Norma Downs,-30.557691,143.964291,30/11/2020,,,,,,,,
DM113,Pole syringe,Western Collared Pig 26,NSW,"Tongo
",-30.474421,143.675511,30/11/2020,,,,,,,,
DM112,Pole syringe,Western Collared Pig 25,NSW,Tongo,-30.405021,143.570583,29/11/2020,,,,,,,,
DM111,Pole syringe,Western Collared Pig 24,NSW,Tiltawera,-30.03504,144.095917,28/11/2020,,,,,,,,
DM110,Pole syringe,Western Collared Pig 23,NSW,Laurel vale,-30.548172,143.941224,28/11/2020,,,,,,,,
DM109,Pole syringe,Western Collared Pig 22,NSW,Laurel vale ,-30.547868,143.941434,28/11/2020,,,,,,,,
DM108,Pole syringe,Western Collared Pig 21,NSW,Norma Downs ,-30.664756,143.923211,27/11/2020,,,,,,,,
DM107,Pole syringe,Western Collared Pig 20,NSW,Tongo ,-30.474616,143.675567,25/11/2020,,,,,,,,
DM106,Pole syringe,Western Collared Pig 19,NSW,Tongo,-30.40508,143.57014,25/11/2020,,,,,,,,
DM104,Pole syringe,Western Collared Pig 17,NSW,Tongo,-30.494847,143.590869,24/11/2020,,,,,,,,
DM105,Pole syringe,Western Collared Pig 18,NSW,Warramutty,-30.466201,143.959288,24/11/2020,,,,,,,,
DM103,Pole syringe,Western Collared Pig 16,NSW,Nocoleche west,-29.884402,144.083571,12/11/2020,,,,,,,,
DM102,Pole syringe,Western Collared Pig 15,NSW,Noceleche,-29.961558,144.127569,11/11/2020,,,,,,,,
DM98,Pole syringe,Western Collared Pig 10,NSW,Noch,-29.961516,144.127265,25/09/2020,,,,,,,,
DM97,Pole syringe,Western Collared Pig 9,NSW,Barcheka,-29.637463,143.945159,24/09/2020,,,,,,,,
DM96,Pole syringe,Western Collared Pig 8,NSW,Barchecar ,-29.637463,143.945159,24/09/2020,,,,,,,,
DM95,Pole syringe,Western Collared Pig 7,NSW,Moorland Downs,-29.446497,144.340168,24/09/2020,,,,,,,,
DM94,Pole syringe,Western Collared Pig 6,NSW,Noch,-29.979024,144.222544,18/09/2020,,,,,,,,
DM93,Pole syringe,Western Collared Pig 5,NSW,Noch,-29.979074,144.222544,18/09/2020,,,,,,,,
DM92,Pole syringe,Western Collared Pig 4,NSW,Noch,-29.979024,144.222544,18/09/2020,,,,,,,,
DM90,Pole syringe,Western Collared Pig 2,NSW,Lenroy,-29.512525,144.282246,16/09/2020,,,,,,,,
DM100,Pole syringe,Western Collared Pig 13,NSW,Gov tank,-30.594319,143.678169,15/09/2020,,,,,,,,
AB35,Manual,,NSW,booligal,-33.813679,144.810974,19/10/2021,,,,,,,,
AB31,Manual,,NSW,Yantabulla,-29.29164,144.975308,20/09/2023,,,,,,,,
DM115,Pole syringe,Western Collared Pig 28,NSW,Tiltawera,-30.044786,144.082305,17/12/2020,,,,,,,,
DM127,Pole syringe,Western Collared Pig 40,NSW,Mt Jack,-30.831793,143.626242,12/10/2021,,,,,,,,
AB52,Manual,,NSW,willowtree,-31.822872,150.50396,19/12/2022,,,,,,,,
AB44,Manual,,NSW,Yantabulla,-29.295979,144.979313,19/09/2023,,,,,,,,
SC10,Manual,Bingara Collared Pig 10,NSW,Bingara,-29.757562,150.480041,13/02/2025,,,,,,,,
AB33,Manual,,NSW,booligal,-33.812991,144.742944,21/10/2021,,,,,,,,
AB65,Manual,,NSW,nimmie,-34.512887,144.024403,16/03/2021,,,,,,,,
AB36,Manual,,NSW,booligal,-33.812946,144.742919,20/10/2021,,,,,,,,
AB20,Manual,,NSW,willowtree,-31.822863,150.503893,30/11/2022,,,,,,,,
AB57,Manual,,NSW,marimley,-34.421912,143.730368,18/03/2021,,,,,,,,
AB03,Manual,,NSW,Yantabulla,-29.252607,144.981766,20/09/2023,,,,,,,,
DM27,Pole syringe,Eastern Collared Pig 44,NSW,Old farm ,-29.960884,152.065458,22/02/2022,,,,,,,,
DM23,Pole syringe,NTLLS FMD Collared Pig 13,NSW,Kasmir,-29.526061,151.266754,15/02/2023,,,,,,,,
